CCTV综合,#genre#
CCTV-1高清,http://36.129.204.122:50001/hls/1/index.m3u8
CCTV-2高清,http://36.129.204.122:50001/hls/2/index.m3u8
CCTV-3高清,http://36.129.204.122:50001/hls/3/index.m3u8
CCTV-4高清,http://36.129.204.122:50001/hls/4/index.m3u8
CCTV-5高清,http://36.129.204.122:50001/hls/5/index.m3u8
CCTV-6高清,http://36.129.204.122:50001/hls/6/index.m3u8
CCTV-7高清,http://36.129.204.122:50001/hls/7/index.m3u8
CCTV-8高清,http://36.129.204.122:50001/hls/8/index.m3u8
CCTV-9高清,http://36.129.204.122:50001/hls/9/index.m3u8
CCTV-10高清,http://36.129.204.122:50001/hls/10/index.m3u8
CCTV-11高清,http://36.129.204.122:50001/hls/11/index.m3u8
CCTV-12高清,http://36.129.204.122:50001/hls/12/index.m3u8
CCTV-13高清,http://36.129.204.122:50001/hls/13/index.m3u8
CCTV-14高清,http://36.129.204.122:50001/hls/14/index.m3u8
CCTV-15高清,http://36.129.204.122:50001/hls/15/index.m3u8
CCTV-17高清,http://36.129.204.122:50001/hls/17/index.m3u8
CCTV-5+高清,http://36.129.204.122:50001/hls/18/index.m3u8

地方,#genre#
河北卫视高清,http://36.129.204.122:50001/hls/19/index.m3u8
河北经济生活高清,http://36.129.204.122:50001/hls/20/index.m3u8
河北都市高清,http://36.129.204.122:50001/hls/21/index.m3u8
河北影视剧高清,http://36.129.204.122:50001/hls/22/index.m3u8
河北少儿科教高清,http://36.129.204.122:50001/hls/23/index.m3u8
河北公共高清,http://36.129.204.122:50001/hls/24/index.m3u8
河北农民高清,http://36.129.204.122:50001/hls/25/index.m3u8
河北杂技频道,http://36.129.204.122:50001/hls/26/index.m3u8
湖南卫视高清,http://36.129.204.122:50001/hls/27/index.m3u8
浙江卫视高清,http://36.129.204.122:50001/hls/28/index.m3u8
江苏卫视高清,http://36.129.204.122:50001/hls/29/index.m3u8
北京卫视高清,http://36.129.204.122:50001/hls/30/index.m3u8
东南卫视高清,http://36.129.204.122:50001/hls/31/index.m3u8
东方卫视高清,http://36.129.204.122:50001/hls/32/index.m3u8
天津卫视高清,http://36.129.204.122:50001/hls/33/index.m3u8
深圳卫视高清,http://36.129.204.122:50001/hls/34/index.m3u8
山东卫视高清,http://36.129.204.122:50001/hls/35/index.m3u8
广东卫视高清,http://36.129.204.122:50001/hls/36/index.m3u8
黑龙江卫视高清,http://36.129.204.122:50001/hls/37/index.m3u8
辽宁卫视高清,http://36.129.204.122:50001/hls/38/index.m3u8
安徽卫视高清,http://36.129.204.122:50001/hls/39/index.m3u8
湖北卫视高清,http://36.129.204.122:50001/hls/40/index.m3u8
四川卫视高清,http://36.129.204.122:50001/hls/41/index.m3u8
重庆卫视高清,http://36.129.204.122:50001/hls/42/index.m3u8
河南卫视高清,http://36.129.204.122:50001/hls/43/index.m3u8
金鹰纪实高清,http://36.129.204.122:50001/hls/44/index.m3u8
广西卫视高清,http://36.129.204.122:50001/hls/45/index.m3u8
纪实人文高清,http://36.129.204.122:50001/hls/46/index.m3u8
中国教育-1高清,http://36.129.204.122:50001/hls/47/index.m3u8
贵州卫视高清,http://36.129.204.122:50001/hls/48/index.m3u8
江西卫视高清,http://36.129.204.122:50001/hls/49/index.m3u8
吉林卫视高清,http://36.129.204.122:50001/hls/50/index.m3u8
海南卫视高清,http://36.129.204.122:50001/hls/51/index.m3u8
BRTV纪实科教,http://36.129.204.122:50001/hls/52/index.m3u8
中国交通频道,http://36.129.204.122:50001/hls/53/index.m3u8
保定新闻综合,http://36.129.204.122:50001/hls/54/index.m3u8
保定公共频道,http://36.129.204.122:50001/hls/55/index.m3u8
保定生活健康,http://36.129.204.122:50001/hls/56/index.m3u8
kaku+少儿,http://36.129.204.122:50001/hls/57/index.m3u8
金鹰卡通,http://36.129.204.122:50001/hls/58/index.m3u8
嘉佳卡通,http://36.129.204.122:50001/hls/59/index.m3u8
优漫卡通,http://36.129.204.122:50001/hls/60/index.m3u8
山东教育,http://36.129.204.122:50001/hls/61/index.m3u8
兵团卫视,http://36.129.204.122:50001/hls/62/index.m3u8
CETV-2,http://36.129.204.122:50001/hls/63/index.m3u8
CETV-4,http://36.129.204.122:50001/hls/64/index.m3u8
中学生,http://36.129.204.122:50001/hls/65/index.m3u8
快乐垂钓高清,http://36.129.204.122:50001/hls/66/index.m3u8
游戏风云高清,http://36.129.204.122:50001/hls/67/index.m3u8
乐游高清,http://36.129.204.122:50001/hls/69/index.m3u8
动漫秀场高清,http://36.129.204.122:50001/hls/70/index.m3u8
生活时尚高清,http://36.129.204.122:50001/hls/71/index.m3u8
